,Unnamed: 0,name,nickname,wins,losses,draws,height,weight,reach,stance,dob,sig_str_pm,str_acc,strikes_abs_pm,sig_str_def,td_avg,td_acc,td_def,sub_avg,total_fights,birth_year,birth_month,birth_day
11,11,Ricardo Abreu,Demente,5,1,0,66.0,185.0,71.55608591885442,Orthodox,1984-04-27,3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7,6,1984,4,27
12,12,Klidson Abreu,White Bear,15,4,1,66.0,205.0,74.0,Orthodox,1992-12-24,2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0,20,1992,12,24
13,13,Cyborg Abreu,,0,0,0,64.77079303675049,170.0258818140174,71.55608591885442,,1980-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1980,12,20
14,14,Daniel Acacio,,30,18,0,63.0,180.0,71.55608591885442,Orthodox,1977-12-27,3.52,36.0,2.85,62.0,0.33,20.0,81.0,0.0,48,1977,12,27
15,15,John Adajar,The Outlaw,6,2,0,64.0,170.0,75.0,Orthodox,1991-06-22,3.9,52.0,6.28,44.0,0.0,0.0,0.0,0.0,8,1991,6,22
16,16,Scott Adams,,8,1,0,66.0,225.0,71.55608591885442,Southpaw,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1986,10,7
17,17,Juan Adams,The Kraken,5,3,0,71.0,265.0,80.0,Orthodox,1992-01-16,7.09,55.0,4.06,34.0,0.91,66.0,57.0,0.0,8,1992,1,16
18,18,Anthony Adams,Sugafoot,8,2,0,67.0,185.0,76.0,Orthodox,1988-01-13,3.17,41.0,5.93,44.0,0.0,0.0,0.0,0.0,10,1988,1,13
19,19,Zarrukh Adashev,The Lion,4,4,0,60.0,125.0,65.0,Southpaw,1992-07-29,3.65,40.0,3.04,64.0,0.0,0.0,100.0,0.5,8,1992,7,29
20,20,Israel Adesanya,The Last Stylebender,24,5,0,70.0,185.0,80.0,Switch,1989-07-22,4.02,48.0,3.2,55.0,0.05,11.0,76.0,0.1,29,1989,7,22
21,21,Sam Adkins,The Experience,7,20,2,69.0,225.0,71.55608591885442,Orthodox,1965-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1965,4,26
22,22,Mohamed Ado,,5,1,0,66.0,170.0,76.0,Switch,2000-05-03,1.66,83.0,0.33,75.0,4.97,50.0,50.0,5.0,6,2000,5,3
23,23,Nick Agallar,,24,6,0,63.0,155.0,71.55608591885442,Orthodox,1979-01-13,0.69,11.0,4.56,42.0,0.0,0.0,0.0,0.0,30,1979,1,13
24,24,Mariya Agapova,Money Mashka,10,5,0,61.0,125.0,68.0,Southpaw,1997-04-07,4.43,54.0,3.62,52.0,0.55,66.0,45.0,0.8,15,1997,4,7
25,25,Kantharaj Agasa,Kannadiga,12,3,0,64.77079303675049,135.0,71.55608591885442,,1992-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1992,2,16
26,26,Marcelo Aguiar,,2,3,1,65.0,170.0,71.55608591885442,Orthodox,1969-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1969,1,20
27,27,Fabio Aguiar,,17,1,0,66.0,185.0,71.55608591885442,,1988-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1988,2,10
28,28,Edwin Aguilar,Tigre,26,19,1,65.0,185.0,71.55608591885442,,1972-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,1972,1,1
29,29,Jessica Aguilar,Jag,20,8,0,58.0,115.0,63.0,Orthodox,1982-05-08,4.93,50.0,7.19,53.0,0.94,25.0,50.0,0.2,28,1982,5,8
30,30,Kevin Aguilar,Angel of Death,17,5,0,62.0,155.0,73.0,Orthodox,1988-09-07,3.96,40.0,4.81,52.0,0.16,16.0,78.0,0.0,22,1988,9,7
31,31,Jesus Aguilar,,12,3,0,59.0,125.0,62.0,Orthodox,1996-03-13,2.65,40.0,1.85,62.0,1.64,31.0,48.0,1.4,15,1996,3,13
32,32,Christian Aguilera,The Beast,14,8,0,64.0,170.0,72.0,Switch,1991-11-25,2.54,37.0,4.04,48.0,0.0,0.0,60.0,0.0,22,1991,11,25
33,33,Nick Aguirre,Slick,7,2,0,64.0,135.0,74.0,Southpaw,1996-01-15,0.73,33.0,2.89,45.0,1.16,20.0,33.0,0.6,9,1996,1,15
34,34,Agulali,,13,2,0,64.0,125.0,67.0,Switch,2005-04-07,2.74,60.0,2.19,59.0,0.0,0.0,100.0,0.0,15,2005,4,7
35,35,Ahejiang Ailinuer,,15,3,0,64.77079303675049,145.0,71.55608591885442,,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1986,10,7
36,36,Mike Aina,Iron,14,6,1,64.0,155.0,71.55608591885442,Orthodox,1980-12-25,2.87,33.0,6.33,59.0,0.0,0.0,71.0,0.0,21,1980,12,25
37,37,Ashiek Ajim,Peak Physique,6,2,0,63.0,135.0,71.0,Switch,1994-06-19,5.0,40.0,11.25,25.0,0.0,0.0,0.0,0.0,8,1994,6,19
38,38,Hitomi Akano,Girlfight Monster,18,10,0,59.0,135.0,71.55608591885442,Southpaw,1974-07-27,0.59,45.0,2.58,55.0,0.0,0.0,8.0,0.5,28,1974,7,27
39,39,Omari Akhmedov,Wolverine,21,6,1,66.0,185.0,73.0,Orthodox,1987-10-12,2.97,34.0,2.84,55.0,2.58,45.0,65.0,0.2,28,1987,10,12
40,40,Yoshihiro Akiyama,,14,6,2,65.0,170.0,75.0,Orthodox,1975-07-29,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,22,1975,7,29
41,41,Rostem Akman,,6,2,0,65.0,170.0,72.0,Switch,1991-12-19,1.8,25.0,3.97,57.0,1.0,40.0,87.0,0.0,8,1991,12,19
42,42,Razak Al-Hassan,,13,5,0,68.0,205.0,71.55608591885442,Orthodox,1982-05-14,3.27,39.0,3.14,60.0,0.65,14.0,57.0,0.0,18,1982,5,14
43,43,Abdul-Kareem Al-Selwady,Pride of Palestine,15,4,0,63.0,155.0,69.0,Orthodox,1995-04-10,4.14,34.0,3.6,59.0,2.32,30.0,20.0,0.0,19,1995,4,10
44,44,Mostapha Al-Turk,,6,6,0,68.0,245.0,77.0,Orthodox,1973-07-14,1.36,19.0,3.61,53.0,0.0,0.0,0.0,0.0,12,1973,7,14
45,45,Herdem Alacabek,,5,1,0,68.0,205.0,75.0,Orthodox,1991-06-07,3.84,65.0,6.66,23.0,2.06,50.0,42.0,0.0,6,1991,6,7
46,46,Javi Alanis,,0,4,0,61.0,135.0,71.55608591885442,,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1986,10,7
47,47,Alatengheili,The Mongolian Knight,17,10,2,60.0,135.0,66.0,Orthodox,1991-12-14,2.82,32.0,5.12,57.0,1.74,43.0,75.0,0.0,29,1991,12,14
48,48,Amir Albazi,The Prince,17,3,0,60.0,125.0,68.0,Orthodox,1993-10-27,2.47,33.0,3.88,59.0,1.18,25.0,62.0,0.4,20,1993,10,27
49,49,Brett Albee,,3,2,0,64.77079303675049,225.0,71.55608591885442,,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1986,10,7
50,50,John Albert,Prince,6,5,0,63.0,135.0,68.0,Orthodox,1986-10-13,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,11,1986,10,13
51,51,Junior Albini,Baby,14,6,0,69.0,264.0,74.0,Orthodox,1991-03-15,3.98,51.0,6.08,52.0,1.54,37.0,100.0,0.0,20,1991,3,15
52,52,Wes Albritton,,0,1,0,65.0,188.0,71.55608591885442,Orthodox,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1986,10,7
53,53,Aleksandra Albu,Stitch,3,2,0,57.0,115.0,63.0,Orthodox,1990-07-14,4.83,47.0,5.56,38.0,2.27,50.0,77.0,0.4,5,1990,7,14
54,54,Israel Albuquerque,,0,3,0,64.77079303675049,185.0,71.55608591885442,Orthodox,1986-10-07,0.32,13.0,3.34,25.0,0.0,0.0,0.0,0.0,3,1986,10,7
55,55,Juan Alcain,,1,2,0,64.77079303675049,170.0258818140174,71.55608591885442,,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1986,10,7
56,56,Iuri Alcantara,Marajo,35,10,1,64.0,135.0,71.0,Southpaw,1980-08-04,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,46,1980,8,4
57,57,Ildemar Alcantara,Marajo,21,11,0,68.0,185.0,78.0,Orthodox,1982-11-18,1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9,32,1982,11,18
58,58,Alfonso Alcarez,,1,3,1,58.0,145.0,71.55608591885442,,1970-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1970,6,10
59,59,Gilbert Aldana,El Peligro,6,2,0,67.0,250.0,71.55608591885442,Orthodox,1977-08-25,2.91,54.0,6.26,26.0,2.57,40.0,33.0,0.0,8,1977,8,25
60,60,Irene Aldana,,15,8,0,64.0,135.0,68.0,Orthodox,1988-03-26,5.19,39.0,6.64,56.0,0.15,50.0,77.0,0.2,23,1988,3,26
61,61,Hector Aldana,,4,3,0,66.0,170.0,72.0,Orthodox,1988-08-17,3.59,38.0,5.08,59.0,0.93,100.0,0.0,0.0,7,1988,8,17
62,62,Jose Alday,Pochito,14,6,1,62.0,135.0,68.0,Orthodox,1991-09-14,3.13,44.0,3.13,58.0,0.0,0.0,57.0,0.0,21,1991,9,14
63,63,Jose Aldo,,32,10,0,62.0,135.0,70.0,Orthodox,1986-09-09,3.65,46.0,3.81,60.0,0.47,51.0,92.0,0.1,42,1986,9,9
64,64,JJ Aldrich,,14,7,0,60.0,125.0,67.0,Southpaw,1992-09-29,3.96,47.0,4.32,61.0,0.75,26.0,67.0,0.0,21,1992,9,29
65,65,Irina Alekseeva,Russian Ronda,5,4,0,63.0,135.0,67.0,Orthodox,1990-06-27,3.42,38.0,5.02,45.0,0.38,20.0,50.0,0.4,9,1990,6,27
66,66,Talita Alencar,Problem Child,7,1,1,56.0,115.0,58.0,Orthodox,1990-10-17,2.91,37.0,3.36,55.0,3.02,26.0,66.0,0.6,9,1990,10,17
67,67,Jim Alers,The Beast,13,3,1,64.0,145.0,71.0,Orthodox,1986-10-14,2.9,40.0,4.38,56.0,2.26,41.0,80.0,0.3,17,1986,10,14
68,68,John Alessio,The Natural,35,17,2,65.0,155.0,72.0,Orthodox,1979-07-05,2.1,39.0,2.91,54.0,1.85,38.0,70.0,1.2,54,1979,7,5
69,69,Houston Alexander,The Assassin,17,15,2,66.0,205.0,72.0,Orthodox,1972-03-22,3.06,54.0,3.2,52.0,1.19,57.0,33.0,0.0,34,1972,3,22
70,70,Kenneth Alexander,The Machine,7,6,1,64.0,155.0,71.55608591885442,Orthodox,1977-09-25,0.88,19.0,2.2,66.0,4.71,26.0,0.0,0.0,14,1977,9,25
71,71,Lucas Alexander,The Lion,8,5,0,66.0,145.0,73.0,Orthodox,1995-07-28,4.69,57.0,2.87,56.0,0.0,0.0,60.0,0.0,13,1995,7,28
72,72,Marcio Alexandre Junior,Lyoto,17,4,0,66.0,185.0,75.0,Southpaw,1989-05-05,1.61,45.0,2.89,42.0,0.35,20.0,66.0,0.7,21,1989,5,5
73,73,Olaf Alfonso,,8,12,0,68.0,170.0,71.55608591885442,Orthodox,1974-08-06,1.65,38.0,4.77,53.0,0.37,7.0,22.0,0.7,20,1974,8,6
74,74,Pablo Alfonso,The Hurricane,9,7,0,63.0,145.0,71.55608591885442,,1983-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1983,5,9
75,75,Levi Alford,,1,7,0,64.77079303675049,170.0258818140174,71.55608591885442,,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1986,10,7
76,76,Bill Algeo,Senor Perfecto,18,9,0,66.0,145.0,73.0,Switch,1989-06-09,5.88,51.0,4.38,47.0,1.03,50.0,55.0,0.1,27,1989,6,9
77,77,Royce Alger,,3,2,0,65.0,199.0,71.55608591885442,Orthodox,1965-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1965,3,6
78,78,Amir Aliakbari,,10,1,0,69.0,250.0,71.55608591885442,,1984-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1984,6,10
79,79,Sultan Aliev,,15,3,0,66.0,170.0,74.0,Orthodox,1984-09-17,1.41,45.0,2.2,56.0,1.76,38.0,100.0,0.0,18,1984,9,17
80,80,Nurullo Aliev,Tajik Eagle,11,0,0,65.0,155.0,72.0,Orthodox,2000-12-08,2.72,44.0,1.63,58.0,2.12,43.0,80.0,0.3,11,2000,12,8
81,81,Ikram Aliskerov,,17,2,0,66.0,185.0,76.0,Southpaw,1992-12-07,6.86,64.0,5.47,41.0,3.2,60.0,100.0,0.5,19,1992,12,7
82,82,Leon Aliu,The Albanian Lion,10,2,0,66.0,185.0,74.0,Orthodox,1989-07-14,6.32,50.0,10.11,38.0,0.0,0.0,0.0,0.0,12,1989,7,14
83,83,John Allan,,13,7,1,67.0,205.0,75.0,Orthodox,1993-02-22,3.56,42.0,5.74,52.0,1.4,71.0,50.0,0.8,21,1993,2,22
84,84,George Allen,,13,19,2,68.0,205.0,71.55608591885442,Open Stance,1967-01-13,0.8,38.0,3.1,43.0,0.0,0.0,50.0,0.0,34,1967,1,13
85,85,Arnold Allen,Almighty,20,4,0,63.0,145.0,70.0,Southpaw,1994-01-22,3.47,42.0,3.04,60.0,0.86,47.0,71.0,0.3,24,1994,1,22
86,86,Brendan Allen,All In,26,7,0,68.0,185.0,75.0,Orthodox,1995-12-28,3.59,53.0,3.62,47.0,1.56,42.0,56.0,1.1,33,1995,12,28
87,87,Daniel Allen,,5,0,0,66.0,155.0,75.0,Southpaw,1992-08-10,7.6,51.0,5.87,53.0,2.0,66.0,100.0,0.0,5,1992,8,10
88,88,Ben Alloway,Blanco,18,8,0,66.0,170.0,76.0,Orthodox,1981-02-19,1.28,49.0,1.9,59.0,0.62,50.0,26.0,0.0,26,1981,2,19
89,89,Asu Almabayev,Zulfikar,23,3,0,59.0,125.0,65.0,Orthodox,1994-01-25,2.31,50.0,1.99,53.0,4.46,42.0,44.0,1.5,26,1994,1,25
90,90,Bekzat Almakhan,The Turan Warrior,12,3,0,62.0,135.0,68.0,Orthodox,1997-10-08,1.61,34.0,3.73,36.0,0.0,0.0,41.0,0.0,15,1997,10,8
91,91,John Dave Almanza,The Striker,6,1,0,62.0,125.0,67.0,Southpaw,2004-03-22,1.92,41.0,5.75,27.0,0.0,0.0,0.0,0.0,7,2004,3,22
92,92,Ricardo Almeida,Big Dog,13,5,0,66.0,170.0,74.0,Orthodox,1976-11-29,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2,18,1976,11,29
93,93,Magno Almeida,,10,3,1,66.0,155.0,71.55608591885442,,1985-06-06,1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0,14,1985,6,6
94,94,Thomas Almeida,Thominhas,22,5,0,62.0,145.0,70.0,Southpaw,1991-07-31,4.84,43.0,4.93,61.0,0.17,14.0,75.0,0.0,27,1991,7,31
95,95,Ericka Almeida,,7,3,0,61.0,115.0,71.55608591885442,Orthodox,1989-03-05,1.07,39.0,3.33,43.0,0.5,33.0,37.0,0.0,10,1989,3,5
96,96,Estefani Almeida,,7,3,0,59.0,125.0,71.55608591885442,Orthodox,1988-10-17,3.13,37.0,6.07,42.0,0.0,0.0,0.0,0.0,10,1988,10,17
97,97,Jailton Almeida,Malhadinho,22,5,0,69.0,225.0,79.0,Orthodox,1991-06-26,2.23,62.0,1.3,43.0,5.64,55.0,60.0,1.7,27,1991,6,26
98,98,Lucas Almeida,,15,5,0,66.0,145.0,71.0,Orthodox,1991-01-31,4.94,39.0,5.36,44.0,0.0,0.0,53.0,0.0,20,1991,1,31
99,99,Cesar Almeida,Cesinha,7,2,0,67.0,185.0,74.0,Orthodox,1988-03-28,3.46,58.0,2.03,46.0,0.0,0.0,52.0,0.2,9,1988,3,28
100,100,Mauricio Alonso,,13,7,1,68.0,170.0,71.55608591885442,,1980-02-27,5.74,34.0,1.91,67.0,0.0,0.0,0.0,0.0,21,1980,2,27
101,101,Sarah Alpar,Too Sweet,9,6,0,59.0,135.0,63.0,Southpaw,1991-06-01,2.36,44.0,6.06,38.0,1.61,26.0,20.0,0.4,15,1991,6,1
102,102,Ali AlQaisi,The Royal Fighter,8,5,0,61.0,135.0,68.0,Orthodox,1990-09-23,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,13,1990,9,23
103,103,Rico Altamirano,,4,3,0,65.0,170.0,71.55608591885442,,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1986,10,7
104,104,Victor Altamirano,El Magnifico,12,5,0,63.0,125.0,70.0,Switch,1991-01-23,4.58,53.0,3.82,53.0,2.88,38.0,63.0,0.0,17,1991,1,23
105,105,Mike Altman,,1,4,0,65.0,185.0,71.55608591885442,Orthodox,1986-10-07,1.56,20.0,2.08,75.0,0.0,0.0,0.0,0.0,5,1986,10,7
106,106,Patricia Alujas,The Angel,9,3,0,59.0,115.0,64.0,Orthodox,1996-05-08,5.83,31.0,9.25,44.0,0.0,0.0,0.0,0.0,12,1996,5,8
107,107,Sean Alvarez,,4,3,0,66.0,235.0,71.55608591885442,Orthodox,1971-07-14,0.89,37.0,3.25,47.0,0.0,0.0,0.0,0.0,7,1971,7,14
108,108,Eddie Alvarez,,29,6,1,64.0,155.0,69.0,Orthodox,1984-01-11,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,36,1984,1,11
109,109,Jaime Alvarez,,6,1,0,63.0,125.0,69.0,Orthodox,1988-03-08,2.73,40.0,4.53,56.0,1.0,33.0,50.0,0.0,7,1988,3,8
110,110,Joel Alvarez,El Fenomeno,23,3,0,69.0,155.0,77.0,Orthodox,1993-03-02,4.78,55.0,3.07,54.0,0.19,33.0,47.0,1.1,26,1993,3,2
111,111,Thiago Alves,Pitbull,23,15,0,64.0,170.0,70.0,Orthodox,1983-10-03,3.73,41.0,3.42,62.0,0.71,60.0,63.0,0.3,38,1983,10,3
112,112,Anthony Alves,,1,4,0,64.77079303675049,170.0258818140174,71.55608591885442,,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1986,10,7
113,113,Amilcar Alves,,15,12,0,66.0,170.0,71.55608591885442,Southpaw,1988-08-08,0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0,27,1988,8,8
114,114,Warlley Alves,,15,8,0,66.0,185.0,72.0,Orthodox,1991-01-04,3.04,48.0,3.95,50.0,1.22,50.0,62.0,0.8,23,1991,1,4
115,115,Rafael Alves,The Turn,20,12,0,63.0,155.0,68.0,Orthodox,1990-11-14,1.85,48.0,3.3,58.0,0.29,25.0,44.0,1.5,32,1990,11,14
116,116,Sam Alvey,Smile'N,33,18,1,68.0,185.0,75.0,Southpaw,1986-05-06,3.28,44.0,3.63,52.0,0.06,14.0,82.0,0.1,52,1986,5,6
117,117,Christopher Alvidrez,The Newborn,7,1,0,66.0,170.0,74.0,Orthodox,1996-12-27,6.97,62.0,2.11,50.0,0.0,0.0,100.0,0.0,8,1996,12,27
118,118,Mahamed Aly,,4,1,0,68.0,205.0,78.0,Orthodox,1994-01-11,6.0,66.0,12.0,33.0,0.0,0.0,0.0,0.0,5,1994,1,11
119,119,Andre Amado,Dida,6,4,1,66.0,154.0,71.55608591885442,Orthodox,1983-10-09,2.27,24.0,5.91,63.0,0.0,0.0,20.0,0.0,11,1983,10,9
120,120,Adlan Amagov,Borz,14,2,1,68.0,170.0,76.0,Orthodox,1986-10-30,3.29,47.0,0.82,78.0,5.84,56.0,100.0,0.0,17,1986,10,30
121,121,Maiara Amanajas dos Santos,,7,3,0,60.0,115.0,71.55608591885442,Southpaw,1987-07-11,5.53,35.0,24.47,33.0,0.0,0.0,100.0,0.0,10,1987,7,11
122,122,Chris Amarante,,2,0,0,64.77079303675049,185.0,71.55608591885442,,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1986,10,7
123,123,Jimmy Ambriz,The Titan,17,21,1,68.0,315.0,71.55608591885442,Southpaw,1970-01-26,0.83,29.0,3.76,40.0,3.13,57.0,100.0,0.8,39,1970,1,26
124,124,JJ Ambrose,,28,7,2,65.0,170.0,71.55608591885442,Orthodox,1987-02-06,3.16,69.0,6.32,33.0,0.0,0.0,50.0,0.0,37,1987,2,6
125,125,Alen Amedovski,,8,4,0,65.0,185.0,74.0,Orthodox,1988-04-06,0.99,30.0,3.85,46.0,0.0,0.0,0.0,0.0,12,1988,4,6
126,126,Hyder Amil,The Hurricane,11,2,0,64.0,145.0,70.0,Switch,1990-05-28,5.81,52.0,3.95,51.0,0.56,18.0,65.0,0.8,13,1990,5,28
127,127,Hamid Amiri,The Storm,9,0,0,64.77079303675049,145.0,71.55608591885442,,2003-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2003,6,15
128,128,Makwan Amirkhani,Mr. Finland,17,9,0,65.0,145.0,72.0,Southpaw,1988-11-08,1.33,44.0,2.98,46.0,3.96,43.0,35.0,1.1,26,1988,11,8
129,129,Jaqueline Amorim,,10,2,0,58.0,115.0,68.0,Orthodox,1995-06-24,2.43,50.0,2.16,54.0,2.16,36.0,0.0,3.8,12,1995,6,24
130,130,Yaroslav Amosov,,29,1,0,66.0,170.0,75.0,Orthodox,1993-09-09,2.78,47.0,1.55,54.0,4.64,50.0,0.0,4.6,30,1993,9,9
131,131,Bertrand Amoussou,,1,1,0,63.0,190.0,71.55608591885442,Orthodox,1966-05-28,6.75,39.0,2.01,83.0,0.0,0.0,0.0,0.0,2,1966,5,28
132,132,Karl Amoussou,The Psycho,27,7,2,66.0,185.0,71.55608591885442,Orthodox,1985-11-21,1.47,34.0,2.67,54.0,0.0,0.0,25.0,1.0,36,1985,11,21
133,133,Eryk Anders,Ya Boi,17,9,1,67.0,185.0,75.0,Southpaw,1987-04-21,3.51,48.0,4.09,50.0,1.75,24.0,80.0,0.1,27,1987,4,21
134,134,Matt Andersen,,14,8,1,68.0,230.0,71.55608591885442,Southpaw,1971-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1971,5,29
135,135,Andy Anderson,The Hammer,0,1,0,61.0,240.0,71.55608591885442,,1974-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1974,7,16
136,136,Lowell Anderson,,0,1,0,61.0,160.0,71.55608591885442,Orthodox,1986-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1986,10,7
137,137,Corey Anderson,Overtime,14,5,0,69.0,205.0,79.0,Orthodox,1989-09-22,4.43,46.0,2.22,59.0,4.89,50.0,83.0,0.0,19,1989,9,22
138,138,Derek Anderson,Barbaric,14,3,1,66.0,155.0,71.55608591885442,,1990-02-02,3.97,37.0,3.08,61.0,0.34,14.0,60.0,0.0,18,1990,2,2
139,139,Megan Anderson,,11,5,0,66.0,145.0,72.0,Orthodox,1990-02-11,1.76,46.0,3.35,37.0,0.52,25.0,53.0,0.5,16,1990,2,11
140,140,Liam Anderson,,6,3,0,69.0,185.0,75.0,Orthodox,1995-01-13,3.0,52.0,6.53,31.0,1.0,20.0,50.0,0.0,9,1995,1,13
141,141,Tatsuya Ando,Kirinji,14,4,1,59.0,145.0,68.0,Southpaw,1990-04-26,0.93,19.0,4.93,50.0,0.0,0.0,0.0,0.0,19,1990,4,26
142,142,Alex Andrade,El Toro,10,5,0,66.0,200.0,71.55608591885442,Orthodox,1974-05-14,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8,15,1974,5,14
143,143,Jessica Andrade,Bate Estaca,26,15,0,56.0,115.0,62.0,Orthodox,1991-09-25,6.37,48.0,5.58,54.0,2.1,54.0,75.0,0.3,41,1991,9,25
144,144,Viscardi Andrade,,19,6,0,66.0,170.0,75.0,Orthodox,1984-03-08,3.26,42.0,2.77,63.0,1.93,50.0,66.0,0.3,25,1984,3,8
145,145,Jermaine Andre,,14,4,0,62.0,200.0,71.55608591885442,Orthodox,1973-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1973,7,16
146,146,Fellipe Andrew,,0,0,0,64.77079303675049,170.0258818140174,71.55608591885442,,1994-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1994,10,24
147,147,Dylan Andrews,The Villain,18,7,1,67.0,185.0,74.0,Switch,1979-11-15,2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4,26,1979,11,15
148,148,Reese Andy,Riptide,7,3,0,66.0,205.0,71.55608591885442,Orthodox,1973-03-31,2.87,50.0,3.5,58.0,0.67,20.0,40.0,0.0,10,1973,3,31
149,149,Angga,The Hitman,13,3,0,62.0,145.0,68.0,Orthodox,1989-01-13,3.56,38.0,3.77,53.0,0.0,0.0,33.0,0.0,16,1989,1,13
150,150,Julius Anglickas,,5,1,0,69.0,205.0,71.55608591885442,Orthodox,1991-07-23,4.62,78.0,1.86,50.0,4.47,50.0,60.0,1.1,6,1991,7,23
151,151,Collin Anglin,,8,3,0,64.0,145.0,71.0,Orthodox,1993-02-20,4.59,48.0,5.54,51.0,2.28,66.0,100.0,0.0,11,1993,2,20
152,152,Chad Anheliger,The Monster,13,8,0,61.0,135.0,64.0,Orthodox,1986-12-01,3.11,46.0,2.76,53.0,0.68,30.0,38.0,0.5,21,1986,12,1
